Tên Truyện,Link Gốc,Chương Đang Đọc,Tổng Chương,Ảnh,Link Mới
"Mỗi Ngày Một Quẻ, Từ Phường Thị Tán Tu Đến Trường Sinh Tiên Tôn","https://metruyencv.com/truyen/moi-ngay-mot-que-tu-phuong-thi-tan-tu-den-truong-sinh-tien-ton","0","0","https://static.cdnno.com/poster/moi-ngay-mot-que-tu-phuong-thi-tan-tu-den-truong-sinh-tien-ton/150.jpg?1755333826",""
"Vừa Lên Lớp 12, Hệ Thống Để Cho Ta Đi Thảo Phạt Ma Vương?","https://metruyencv.com/truyen/moi-vua-len-lop-12-he-thong-de-cho-ta-di-thao-phat-ma-vuong","0","0","https://static.cdnno.com/poster/moi-vua-len-lop-12-he-thong-de-cho-ta-di-thao-phat-ma-vuong/150.jpg?1763661325",""
"Ta Đem Kỹ Năng Thường Ngày Cày Thành Thần Thông","https://metruyencv.com/truyen/ta-dem-thuong-ngay-ky-nang-cay-thanh-than-thong","0","0","https://static.cdnno.com/poster/ta-dem-thuong-ngay-ky-nang-cay-thanh-than-thong/150.jpg?1712631164",""
"Hệ Thống Rất Trừu Tượng, May Mà Ta Cũng Vậy","https://metruyencv.com/truyen/he-thong-rat-truu-tuong-may-ma-ta-cung-la","0","0","https://static.cdnno.com/poster/he-thong-rat-truu-tuong-may-ma-ta-cung-la/150.jpg?1730109997",""
"Ta Thật Không Nghĩ Cố Gắng","https://metruyencv.com/truyen/ta-that-khong-nghi-co-gang","0","0","https://static.cdnno.com/poster/ta-that-khong-nghi-co-gang/150.jpg?1742122711",""
"Thiên Tai Giáng Lâm: Ta Có Thể Cường Hóa Vạn Vật","https://metruyencv.com/truyen/thien-tai-giang-lam-ta-co-the-cuong-hoa-van-vat","0","0","https://static.cdnno.com/poster/thien-tai-giang-lam-ta-co-the-cuong-hoa-van-vat/150.jpg?1732254956",""
"Thần Cấp Lựa Chọn: Cái Này Ngự Thú Sư Có Ức Điểm Dữ Dội","https://metruyencv.com/truyen/than-cap-lua-chon-cai-nay-ngu-thu-su-co-uc-diem-du-doi","0","0","https://static.cdnno.com/poster/than-cap-lua-chon-cai-nay-ngu-thu-su-co-uc-diem-du-doi/150.jpg?1639150807",""
"Các Sư Đệ Đều Là Đại Lão, Vậy Ta Chỉ Có Thể Bật Hack","https://metruyencv.com/truyen/cac-su-de-deu-la-dai-lao-vay-ta-chi-co-the-bat-hack","0","0","https://static.cdnno.com/poster/cac-su-de-deu-la-dai-lao-vay-ta-chi-co-the-bat-hack/150.jpg?1672585406",""
"Ta Phải Cho Thế Giới Này Lên Lớp","https://metruyencv.com/truyen/ta-phai-cho-cai-nay-the-gioi-len-lop","0","0","https://static.cdnno.com/poster/ta-phai-cho-cai-nay-the-gioi-len-lop/150.jpg?1685681062",""
"Toàn Dân Dị Năng: Các Ngươi Dị Năng Không Thích Hợp","https://metruyencv.com/truyen/toan-dan-di-nang-cac-nguoi-di-nang-khong-thich-hop","0","0","https://static.cdnno.com/poster/toan-dan-di-nang-cac-nguoi-di-nang-khong-thich-hop/150.jpg?1760701270",""
"Ta Gia Phả Tất Cả Đều Là Lục Địa Thần Tiên","https://metruyencv.com/truyen/nguoi-o-tong-vo-the-nhung-he-thong-qua-loe-loet","0","0","https://static.cdnno.com/poster/nguoi-o-tong-vo-the-nhung-he-thong-qua-loe-loet/150.jpg?1770202631",""
"Ta Đại Đạo Thân Phận Bị Muội Muội Đắc Kỷ Công Khai","https://metruyencv.com/truyen/ta-dai-dao-than-phan-bi-muoi-muoi-dac-ky-cong-khai","0","0","https://static.cdnno.com/poster/ta-dai-dao-than-phan-bi-muoi-muoi-dac-ky-cong-khai/150.jpg?1597390154",""
"Nhường Ngươi Tu Tiên, Không Nhường Ngươi Tai Họa Tu Tiên Giới A!","https://metruyencv.com/truyen/nhuong-nguoi-tu-tien-khong-nhuong-nguoi-tai-hoa-tu-tien-gioi-a","0","0","https://static.cdnno.com/poster/nhuong-nguoi-tu-tien-khong-nhuong-nguoi-tai-hoa-tu-tien-gioi-a/150.jpg?1709348056",""
"Cao Võ: Thiểm Hôn Giáo Hoa, Nằm Ngửa Thì Biến Cường","https://metruyencv.com/truyen/cao-vo-thiem-hon-giao-hoa-nam-ngua-thi-bien-cuong","0","0","https://static.cdnno.com/poster/cao-vo-thiem-hon-giao-hoa-nam-ngua-thi-bien-cuong/150.jpg?1752822562",""
"Người Tại Chư Thiên, Nằm Ngửa Thành Đế","https://metruyencv.com/truyen/nguoi-tai-chu-thien-nam-ngua-thanh-de","0","0","https://static.cdnno.com/poster/nguoi-tai-chu-thien-nam-ngua-thanh-de/150.jpg?1724779606",""
"Trường Sinh Từ Tông Môn Tạp Dịch Bắt Đầu","https://metruyencv.com/truyen/truong-sinh-tu-tong-mon-tap-dich-bat-dau","0","0","https://static.cdnno.com/poster/truong-sinh-tu-tong-mon-tap-dich-bat-dau/150.jpg?1689154435",""
"Bạn Gái Của Ta Là Ác Liệt Đại Tiểu Thư","https://metruyencv.com/truyen/ta-da-tai-luyen-ai-tro-choi","0","0","https://static.cdnno.com/poster/ta-da-tai-luyen-ai-tro-choi/150.jpg?1687188961",""
"Làm Ruộng Dục Yêu Tu Tiên Kiếm Trường Sinh","https://metruyencv.com/truyen/lam-ruong-duc-yeu-tu-tien-kiem-truong-sinh","0","0","https://static.cdnno.com/poster/lam-ruong-duc-yeu-tu-tien-kiem-truong-sinh/150.jpg?1726898385",""
"Đơn Thuần Sau Cùng Của Tu Tiên Giới","https://metruyencv.com/truyen/don-thuan-sau-cung-cua-tu-tien-gioi","0","0","https://static.cdnno.com/poster/don-thuan-sau-cung-cua-tu-tien-gioi/150.jpg?1608349948",""
"Sống Lại Sau Đó Bị Bạn Gái Siêu Đáng Yêu Đuổi Ngược","https://metruyencv.com/truyen/song-lai-sau-do-bi-ban-gai-sieu-dang-yeu-duoi-nguoc","0","0","https://static.cdnno.com/poster/song-lai-sau-do-bi-ban-gai-sieu-dang-yeu-duoi-nguoc/150.jpg?1600530692",""
"Ngộ Tính Nghịch Thiên: Ta Tại Chư Thiên Sáng Pháp Truyền Đạo","https://metruyencv.com/truyen/ngo-tinh-nghich-thien-ta-tai-chu-thien-sang-phap-truyen-dao","0","0","https://static.cdnno.com/poster/ngo-tinh-nghich-thien-ta-tai-chu-thien-sang-phap-truyen-dao/150.jpg?1701194658",""
"Nói Bừa Công Pháp, Đồ Nhi Ngươi Thật Luyện Thành?","https://metruyencv.com/truyen/noi-bua-cong-phap-do-nhi-nguoi-that-luyen-thanh","0","0","https://static.cdnno.com/poster/noi-bua-cong-phap-do-nhi-nguoi-that-luyen-thanh/150.jpg?1689964973",""
"Tiên Nhân Biến Mất Về Sau","https://metruyencv.com/truyen/tien-nhan-bien-mat-ve-sau","0","0","https://static.cdnno.com/poster/tien-nhan-bien-mat-ve-sau/150.jpg?1742784304",""
"Nữ Đế Mang Thai, Ngăn Cửa Muốn Ta Phụ Trách","https://metruyencv.com/truyen/nu-de-mang-thai-ngan-cua-muon-ta-phu-trach","0","0","https://static.cdnno.com/poster/nu-de-mang-thai-ngan-cua-muon-ta-phu-trach/150.jpg?1664197259",""
"Người Trong Bụng Mẹ, Bên Cạnh Nữ Đế Muốn Đem Ta Đạp Ra Ngoài","https://metruyencv.com/truyen/nguoi-o-trong-thai-ben-canh-nu-de-muon-dem-ta-dap-ra-ngoai","0","0","https://static.cdnno.com/poster/nguoi-o-trong-thai-ben-canh-nu-de-muon-dem-ta-dap-ra-ngoai/150.jpg?1657103504",""
"Đem Nhầm Nữ Tổng Giám Đốc Kéo Vào Người Nhà Nhóm, Ta Choáng","https://metruyencv.com/truyen/dem-nham-nu-tong-giam-doc-keo-vao-nguoi-nha-nhom-ta-choang","0","0","https://static.cdnno.com/poster/dem-nham-nu-tong-giam-doc-keo-vao-nguoi-nha-nhom-ta-choang/150.jpg?1656855073",""
"Cửu Thế Phản Phái, Nữ Chủ Tập Thể Hắc Hóa!","https://metruyencv.com/truyen/cuu-the-phan-phai-nu-chu-tap-the-hac-hoa","0","0","https://static.cdnno.com/poster/cuu-the-phan-phai-nu-chu-tap-the-hac-hoa/150.jpg?1655826414",""
"Toàn Cầu Chuyển Sinh: Từ Vô Hạn Phục Sinh Bắt Đầu Thành Thần","https://metruyencv.com/truyen/toan-cau-chuyen-sinh-tu-vo-han-phuc-sinh-bat-dau-thanh-than","0","0","https://static.cdnno.com/poster/toan-cau-chuyen-sinh-tu-vo-han-phuc-sinh-bat-dau-thanh-than/150.jpg?1628499577",""
"Coi Mắt Đi Nhầm Bàn, Ta Bị Đối Tượng Hẹn Hò Bắt Cóc","https://metruyencv.com/truyen/coi-mat-di-nham-ban-ta-bi-doi-tuong-hen-ho-bat-coc","0","0","https://static.cdnno.com/poster/coi-mat-di-nham-ban-ta-bi-doi-tuong-hen-ho-bat-coc/150.jpg?1653886316",""
"Bắc Âm Đại Thánh","https://metruyencv.com/truyen/bac-am-dai-thanh","0","0","https://static.cdnno.com/poster/bac-am-dai-thanh/150.jpg?1648144030",""
"Nhà Ta Nương Tử , Không Thích Hợp","https://metruyencv.com/truyen/nha-ta-nuong-tu-khong-thich-hop","0","0","https://static.cdnno.com/poster/nha-ta-nuong-tu-khong-thich-hop/150.jpg?1646044648",""
"Học Bá Tiến Sĩ Lão Bà","https://metruyencv.com/truyen/hoc-ba-tien-si-lao-ba","0","0","https://static.cdnno.com/poster/hoc-ba-tien-si-lao-ba/150.jpg?1646145393",""
"Nhiệm Vụ Hệ Thống Có Chút Nhây","https://metruyencv.com/truyen/nhiem-vu-he-thong-co-chut-nhay","0","0","https://static.cdnno.com/poster/nhiem-vu-he-thong-co-chut-nhay/150.jpg?1621494617",""
"Bất Lương Thần Minh Cùng Không Tồn Tại Lão Bà Yêu Đương Thường Ngày","https://metruyencv.com/truyen/bat-luong-than-minh-cung-khong-ton-tai-lao-ba-yeu-duong-thuong-ngay","0","0","https://static.cdnno.com/poster/bat-luong-than-minh-cung-khong-ton-tai-lao-ba-yeu-duong-thuong-ngay/150.jpg?1642300773",""
"Treo Máy Phần Mềm: Ta Bất Tri Bất Giác Liền Vô Địch","https://metruyencv.com/truyen/treo-may-phan-mem-ta-bat-tri-bat-giac-lien-vo-dich","0","0","https://static.cdnno.com/poster/treo-may-phan-mem-ta-bat-tri-bat-giac-lien-vo-dich/150.jpg?1633075290",""
"Lão Bà Của Ta Sao Có Thể Đáng Yêu Như Vậy?","https://metruyencv.com/truyen/lao-ba-cua-ta-sao-co-the-dang-yeu-nhu-vay","0","0","https://static.cdnno.com/poster/lao-ba-cua-ta-sao-co-the-dang-yeu-nhu-vay/150.jpg?1642351520",""
"Bảo Hộ Bên Ta Tộc Trưởng","https://metruyencv.com/truyen/bao-ho-phe-ta-toc-truong","0","0","https://static.cdnno.com/poster/bao-ho-phe-ta-toc-truong/150.jpg?1635425986",""
"Nữ Đế: Phu Quân Ẩn Cư Mười Năm, Một Kiếm Trảm Tiên Đế","https://metruyencv.com/truyen/nu-de-phu-quan-an-cu-muoi-nam-mot-kiem-tram-tien-de","0","0","https://static.cdnno.com/poster/nu-de-phu-quan-an-cu-muoi-nam-mot-kiem-tram-tien-de/150.jpg?1643874385",""
"Dạy Đồ Gấp 100000 Lần Trả Về, Vi Sư Thật Không Có Điên!","https://metruyencv.com/truyen/day-do-gap-100000-lan-tra-ve-vi-su-that-khong-co-dien","0","0","https://static.cdnno.com/poster/day-do-gap-100000-lan-tra-ve-vi-su-that-khong-co-dien/150.jpg?1641091714",""
"Lớn Mật Yêu Nữ, Đừng Tổn Thương Ta Phu","https://metruyencv.com/truyen/moi-dai-lao-ba-hien-than","0","0","https://static.cdnno.com/poster/moi-dai-lao-ba-hien-than/150.jpg?1630369777",""
"Đô Thị: Ta Trở Thành Phú Nhị Đại Phản Phái","https://metruyencv.com/truyen/do-thi-ta-tro-thanh-phu-nhi-dai-phan-phai","0","0","https://static.cdnno.com/poster/do-thi-ta-tro-thanh-phu-nhi-dai-phan-phai/150.jpg?1620408046",""
"Phu Quân Ta Thực Tế Quá Khiêm Tốn","https://metruyencv.com/truyen/phu-quan-ta-thuc-te-qua-khiem-ton","0","0","https://static.cdnno.com/poster/phu-quan-ta-thuc-te-qua-khiem-ton/150.jpg?1585210681",""
"Học Tỷ Nhanh Im Ngay !","https://metruyencv.com/truyen/hoc-ty-nhanh-im-ngay","0","0","https://static.cdnno.com/poster/hoc-ty-nhanh-im-ngay/150.jpg?1635062716",""
"Nương Tử Ta Một Cái So Một Cái Quỷ Dị","https://metruyencv.com/truyen/nuong-tu-ta-mot-cai-so-mot-cai-quy-di","0","0","https://static.cdnno.com/poster/nuong-tu-ta-mot-cai-so-mot-cai-quy-di/150.jpg?1636683438",""
"Phu Quân Của Ta Thực Tế Quá Yêu Nghiệt","https://metruyencv.com/truyen/phu-quan-cua-ta-thuc-te-qua-yeu-nghiet","0","0","https://static.cdnno.com/poster/phu-quan-cua-ta-thuc-te-qua-yeu-nghiet/150.jpg?1630261118",""
"Huyền Lục","https://metruyencv.com/truyen/huyen-luc","0","0","https://static.cdnno.com/poster/huyen-luc/150.jpg?1652019253",""
"Cửu Tinh Chi Chủ","https://metruyencv.com/truyen/cuu-tinh-chi-chu","0","0","https://static.cdnno.com/poster/cuu-tinh-chi-chu/150.jpg?1599354427",""
"Thiên Đạo Bảng: Cẩu Thành Kiếm Thần Ta Bị Lộ Ra","https://metruyencv.com/truyen/thien-dao-bang-cau-thanh-kiem-than-ta-bi-lo-ra","0","0","https://static.cdnno.com/poster/thien-dao-bang-cau-thanh-kiem-than-ta-bi-lo-ra/150.jpg?1631093708",""
"Ta Tại Võ Đạo Thư Viện Cẩu Thả Đến Vô Địch","https://metruyencv.com/truyen/ta-tai-vo-dao-thu-vien-cau-tha-den-vo-dich","0","0","https://static.cdnno.com/poster/ta-tai-vo-dao-thu-vien-cau-tha-den-vo-dich/150.jpg?1628415679",""
"Y Tiên Cốc Làm Việc Vặt Ba Mươi Năm, Ta Bạch Nhật Phi Thăng","https://metruyencv.com/truyen/y-tien-coc-lam-viec-vat-ba-muoi-nam-ta-bach-nhat-phi-thang","0","0","https://static.cdnno.com/poster/y-tien-coc-lam-viec-vat-ba-muoi-nam-ta-bach-nhat-phi-thang/150.jpg?1619836876",""
"Ta Thiên Tài Như Vậy Vì Sao Còn Muốn Thu Đồ Đệ","https://metruyencv.com/truyen/ta-thien-tai-nhu-vay-vi-sao-con-muon-thu-do-de","0","0","https://static.cdnno.com/poster/ta-thien-tai-nhu-vay-vi-sao-con-muon-thu-do-de/150.jpg?1619254525",""
"Ta Trạch Trăm Năm Đi Ra Ngoài Đã Vô Địch","https://metruyencv.com/truyen/ta-trach-tram-nam-di-ra-ngoai-da-vo-dich","0","0","https://static.cdnno.com/poster/ta-trach-tram-nam-di-ra-ngoai-da-vo-dich/150.jpg?1621995233",""
"Cái Này Tử Trạch Đột Nhiên Vô Địch","https://metruyencv.com/truyen/cai-nay-tu-trach-dot-nhien-vo-dich","0","0","https://static.cdnno.com/poster/cai-nay-tu-trach-dot-nhien-vo-dich/150.jpg?1625729798",""
"Vị Hôn Thê Của Ta Là Kiếm Thánh","https://metruyencv.com/truyen/vi-hon-the-cua-ta-la-kiem-thanh","0","0","https://static.cdnno.com/poster/vi-hon-the-cua-ta-la-kiem-thanh/150.jpg?1624501960",""
"Ta! Bắt Đầu Sáng Tạo Thiên Cơ Lâu!","https://metruyencv.com/truyen/huyen-huyen-ta-bat-dau-sang-tao-thien-co-lau","0","0","https://static.cdnno.com/poster/huyen-huyen-ta-bat-dau-sang-tao-thien-co-lau/150.jpg?1619069444",""
"Đánh Dấu Mười Năm, Ta Bị Tuyệt Sắc Sư Tỷ Lộ Ra Ánh Sáng","https://metruyencv.com/truyen/bat-dau-danh-dau-bay-cai-tien-nu-su-ty","0","0","https://static.cdnno.com/poster/bat-dau-danh-dau-bay-cai-tien-nu-su-ty/150.jpg?1717609656",""
"Bắt Đầu Ban Thưởng Bảy Cái Thẻ Nhân Vật","https://metruyencv.com/truyen/bat-dau-ban-thuong-bay-cai-the-nhan-vat","0","0","https://static.cdnno.com/poster/bat-dau-ban-thuong-bay-cai-the-nhan-vat/150.jpg?1623313177",""
"Nguyên Lai Ta Là Tu Tiên Đại Lão","https://metruyencv.com/truyen/nguyen-lai-ta-la-tu-tien-dai-lao","0","0","https://static.cdnno.com/poster/nguyen-lai-ta-la-tu-tien-dai-lao/150.jpg?1597730975",""
"Thiên Châu Biến","https://metruyencv.com/truyen/thien-chau-bien","0","0","https://static.cdnno.com/poster/thien-chau-bien/150.jpg?1585210248",""
"Đỉnh Cấp Khí Vận, Lặng Lẽ Tu Luyện Ngàn Năm","https://metruyencv.com/truyen/dinh-cap-khi-van-lang-le-tu-luyen-ngan-nam","0","0","https://static.cdnno.com/poster/dinh-cap-khi-van-lang-le-tu-luyen-ngan-nam/150.jpg?1614159439",""
"Đế Bá","https://metruyencv.com/truyen/de-ba","0","0","https://static.cdnno.com/poster/de-ba/150.jpg?1585205580",""
"Tối Cường Trang Bức Đả Kiểm Hệ Thống","https://metruyencv.com/truyen/toi-cuong-trang-buc-da-kiem-he-thong","0","0","https://static.cdnno.com/poster/toi-cuong-trang-buc-da-kiem-he-thong/150.jpg?1623952112",""
"Ta Tu Hệ Thống Pháp Tắc","https://metruyencv.com/truyen/ta-tu-he-thong-phap-tac","0","0","https://static.cdnno.com/poster/ta-tu-he-thong-phap-tac/150.jpg?1599578967",""
"Vũ Luyện Điên Phong","https://metruyencv.com/truyen/vu-luyen-dien-phong","0","0","https://static.cdnno.com/poster/vu-luyen-dien-phong/150.jpg?1585205579",""